Wojewodztwo;Rok;Gestosc zaludnienia na km2;Populacja;Ilosc malzenstw;Ilosc malzenstw koscielnych;Malzenstwa kobieta <=19 lat;Malzenstwa kobieta 20-24 lat;Malzenstwa kobieta 25-29 lat;Malzenstwa kobieta 30-39 lat;Malzenstwa kobieta 40-49 lat;Malzenstwa kobieta >=50 lat;Malzenstwa mezczyzna <=19 lat;Malzenstwa mezczyzna 20-24 lat;Malzenstwa mezczyzna 25-29 lat;Malzenstwa mezczyzna 30-39 lat;Malzenstwa mezczyzna 40-49 lat;Malzenstwa mezczyzna >=50 lat;Malzenstwa kobieta pochodzi ze wsi;Malzenstwa mezczyzna pochodzi ze wsi;Ilosc rozwodow;Rozwody zainicjowane przez osoby ze wsi;Rozwody zainicjowane przez kobiety <=24 lat;Rozwody zainicjowane przez kobiety 25-29 lat;Rozwody zainicjowane przez kobiety 30-39 lat;Rozwody zainicjowane przez kobiety 40-49 lat;Rozwody zainicjowane przez kobiety >=50 lat;Rozwody zainicjowane przez mezczyzn <=24 lat;Rozwody zainicjowane przez mezczyzn 25-29 lat;Rozwody zainicjowane przez mezczyzn 30-39 lat;Rozwody zainicjowane przez mezczyzn 40-49 lat;Rozwody zainicjowane przez mezczyzn >=50 lat;srednie zarobki;Ilosc zatrudnionych kobiet;Wspolczynnik feminizacji;Dzietnosc;Zgony niemowlat na 1000 urodzonych;Rozwody przy braku dzieci;Rozwody przy 1 dziecku;Rozwody przy 2 dzieciach;Rozwody przy 3 dzieciach;Rozwody przy >=4 dzieciach;Rozwody z powodu niedochowania wiernosci;Rozwody z powodu naduzycia alkoholu;Rozwody z powodu naganndego stosuknu do czlonkow rodziny;Rozwody z powodu trudnosci mieszkaniowych;Rozwody z powodu nieporozumien na tle finansowym;Rozwody z powodu niezgodnosci charakterow;Rozwody z powodu niedoboru seksualnego;Rozwody z powodu dluzszej nieobecnosci;Rozwody z powodu roznic swiatopogladowych
OPOLSKIE;2012;107;1007070;5351;3256;187;1785;2050;830;183;185;20;970;2334;1388;283;279;2566;2584;1656;531;102;304;582;397;271;38;190;616;459;353;3358,42;143794;107;1,146;6,2;704;598;281;57;16;161;127;36;2;36;414;2;66;13
PODKARPACKIE;2012;119;2123645;11859;8940;499;4886;4484;1644;244;196;68;2638;5475;2895;363;308;7155;7050;2228;893;154;433;849;495;297;55;311;868;579;415;3152,36;376100;104;1,266;5,1;870;853;393;83;29;173;112;45;4;23;588;6;80;10
PODLASKIE;2012;59;1191034;6398;4438;244;2285;2667;985;152;157;38;1238;2965;1661;232;203;2586;2639;1756;364;121;353;599;406;277;46;255;630;453;372;3310,71;188677;105;1,231;4,1;688;686;304;60;18;144;133;40;3;44;459;3;88;4
POMORSKIE;2012;125;2288793;12072;7193;333;3869;4494;2271;500;502;34;2287;4890;3268;717;709;4551;4463;3098;651;174;458;1225;734;507;52;314;1184;892;656;3696,89;350738;105;1,398;4,4;1275;1118;560;106;39;364;112;74;1;89;447;4;40;15
SLASKIE;2012;374;4612576;24925;15118;779;7893;9672;4504;1020;1017;108;4417;10673;6734;1340;1381;5848;5813;8493;1296;527;1488;3348;1923;1207;170;1079;3329;2261;1654;3855,26;739231;107;1,274;4,8;3550;3316;1374;214;39;905;621;141;5;123;2443;17;121;9
SWIETOKRZYSKIE;2012;109;1276445;6820;4843;272;2444;2658;1056;149;149;34;1255;3191;1816;222;218;3872;3842;1991;619;126;366;761;516;222;37;272;761;600;321;3250,94;216489;105;1,232;3,6;845;814;289;37;6;127;119;15;5;52;495;4;25;12
WARMINSKO-MAZURSKIE;2012;60;1450408;7523;4275;226;2511;3080;1356;287;268;30;1245;3360;2041;385;381;3242;3110;2779;666;201;486;1029;649;414;62;373;1021;771;552;3150,27;196833;104;1,281;4,1;1037;1067;531;101;43;355;279;49;0;48;707;5;80;3
WIELKOPOLSKIE;2012;116;3459874;19103;12696;506;6324;7606;3405;616;526;77;3417;8583;5174;886;738;8797;8740;5696;1766;366;1098;2257;1217;758;136;791;2265;1483;1021;3397,25;619903;106;1,376;4,5;2185;2174;1081;197;59;602;398;89;10;120;1901;16;125;22
ZACHODNIOPOMORSKIE;2012;75;1716936;8559;4391;179;2246;3315;1901;465;474;26;1088;3268;2752;629;647;2906;2744;3293;691;160;489;1251;785;608;43;323;1217;892;818;3417,76;243985;105;1,228;5,2;1422;1205;525;101;40;298;175;41;0;52;681;5;68;7
DOLNOSLASKIE;2013;146;2912218;12895;6674;265;3153;4802;3151;690;755;35;1586;4788;4326;931;986;4011;3990;5939;1137;268;948;2406;1310;1007;98;620;2342;1572;1307;3868,86;484638;108;1,153;5,1;2612;2175;980;133;39;429;243;57;26;71;1166;9;100;23
KUJAWSKO-POMORSKIE;2013;116;2084675;9814;5927;284;3033;3699;1918;432;436;33;1657;3970;2846;595;585;4131;4116;4201;1157;227;712;1688;959;615;73;468;1650;1184;826;3322,09;318437;106;1,253;4,4;1626;1593;809;125;48;356;162;49;3;30;537;12;42;1
LUBELSKIE;2013;86;2160532;10367;7419;391;3497;4153;1818;279;264;63;1984;4634;2809;416;336;5799;5647;4130;1437;264;765;1581;907;613;100;534;1592;1092;812;3488,61;392436;106;1,222;4,6;1730;1547;683;142;28;247;228;44;4;66;814;20;71;10
LUBUSKIE;2013;73;1021119;4742;2529;88;1193;1833;1160;290;245;8;578;1757;1635;346;334;1803;1726;1960;487;89;319;742;476;334;20;211;739;533;457;3282,07;153936;105;1,246;5,6;841;707;347;51;14;286;148;52;8;47;674;35;72;12
LODZKIE;2013;138;2514215;10916;6977;238;3141;4452;2222;481;483;48;1572;4647;3245;613;652;4267;4201;4417;871;191;689;1813;1001;723;58;489;1768;1171;931;3510,2;447355;110;1,232;4,7;1839;1692;747;112;27;375;278;84;27;143;1475;10;82;21
MALOPOLSKIE;2013;221;3355397;16614;11947;541;5942;6199;2792;465;431;90;3227;7256;4496;740;595;9054;8982;3989;1325;216;728;1510;951;584;67;497;1549;1099;777;3574,22;616201;106;1,29;3,8;1645;1467;739;103;35;356;262;74;10;72;1327;5;113;13
MAZOWIECKIE;2013;150;5333771;24144;15797;603;6674;9122;5034;929;1064;86;3555;10069;7191;1366;1480;9348;9196;9110;1911;352;1404;3816;2077;1461;110;904;3706;2460;1930;4773,41;1118435;109;1,333;3,9;4062;3304;1475;219;50;576;317;121;14;131;3251;35;128;73
OPOLSKIE;2013;107;1007070;4740;2819;142;1542;1765;792;190;173;27;786;1993;1349;256;262;2292;2303;1630;530;97;277;596;396;264;29;195;603;448;355;3473,4;146228;107;1,074;4,3;687;585;282;64;12;161;115;53;6;42;467;3;72;22
PODKARPACKIE;2013;119;2123645;10657;7894;391;4127;4319;1632;242;182;54;2152;4977;2726;360;268;6563;6317;2332;937;154;421;878;547;332;43;308;878;628;475;3282,69;381967;104;1,23;4,5;937;874;428;77;16;137;101;53;2;13;717;2;95;10
PODLASKIE;2013;59;1191034;5665;3932;166;1878;2472;931;151;143;26;986;2589;1556;254;210;2220;2235;1997;427;139;368;738;421;331;50;265;754;490;438;3432,71;191202;105;1,178;4,6;807;745;362;65;18;148;119;26;1;34;444;4;52;15
POMORSKIE;2013;125;2288793;10724;6483;304;3315;3797;2163;526;459;31;1774;4181;3205;680;669;4135;3953;3955;891;220;701;1537;881;616;64;457;1575;1037;822;3847,12;360283;105;1,344;4,3;1704;1405;674;136;36;446;113;102;5;66;931;13;77;5
SLASKIE;2013;373;4600243;22225;13319;638;6659;8364;4444;1017;1011;98;3540;9343;6264;1364;1363;5122;5124;8602;1239;444;1480;3404;2005;1269;146;1015;3462;2321;1658;4022,8;745008;107;1,247;5,1;3640;3251;1431;233;47;869;475;132;8;134;2478;20;133;15
SWIETOKRZYSKIE;2013;108;1264734;5844;4027;231;2059;2351;988;161;138;21;1002;2756;1551;231;195;3474;3254;1383;515;89;255;507;324;208;22;179;538;355;289;3349,81;219271;105;1,161;4,9;570;547;224;35;7;48;34;7;2;8;223;1;18;2
WARMINSKO-MAZURSKIE;2013;60;1450408;6556;3825;200;2068;2567;1302;314;276;20;1023;2668;1993;385;365;2983;2805;2789;786;157;472;1082;619;459;61;312;1071;730;615;3264,63;200246;104;1,235;5,9;1050;1025;560;108;46;229;187;44;0;31;543;1;34;2
WIELKOPOLSKIE;2013;116;3459874;16763;11097;403;5388;6461;3193;681;526;53;2827;7223;4814;845;767;7795;7697;5744;1774;316;1007;2277;1358;786;97;705;2274;1554;1114;3515,31;630443;106;1,341;4,5;2222;2122;1136;212;52;584;519;126;20;154;1995;14;128;25
ZACHODNIOPOMORSKIE;2013;75;1716936;7730;3926;148;1857;2845;1872;463;517;19;865;2841;2551;621;704;2538;2463;3293;705;134;518;1255;793;593;39;337;1213;909;795;3539,12;247828;105;1,203;5;1430;1177;569;88;29;299;188;56;1;58;719;10;79;9
DOLNOSLASKIE;2014;146;2912218;13599;6836;238;3147;5128;3358;808;782;28;1564;4906;4674;1094;1057;4245;4193;5786;1164;230;866;2308;1374;1008;62;545;2267;1594;1318;4042,86;498583;108;1,225;4,6;2571;2047;998;136;34;394;207;52;24;70;1408;2;100;21
KUJAWSKO-POMORSKIE;2014;116;2084675;10294;6165;270;3064;3862;2034;491;438;28;1629;4135;3112;612;645;4413;4355;4303;1266;210;689;1713;1062;629;51;490;1656;1242;864;3439,06;325622;106;1,285;4,6;1722;1573;826;135;47;258;159;37;2;20;639;4;58;6
LUBELSKIE;2014;85;2135409;10911;7651;346;3618;4515;2026;303;247;48;1857;4960;3095;445;367;6167;6022;3175;1176;146;566;1264;722;477;50;358;1299;844;624;3605,03;397005;106;1,245;4,2;1334;1174;536;103;28;146;157;28;2;42;456;5;51;19
LUBUSKIE;2014;73;1021119;4875;2480;73;1169;1865;1216;295;272;7;554;1809;1666;400;362;1826;1801;2116;577;81;298;859;510;368;15;195;827;605;474;3425,38;158267;105;1,267;3,8;871;773;393;65;14;248;158;65;12;36;731;30;93;16
LODZKIE;2014;137;2495996;11405;7312;254;3099;4659;2486;522;495;37;1535;4801;3559;668;651;4507;4332;4396;1046;202;683;1810;1066;635;63;449;1782;1247;855;3618,63;456268;110;1,268;4,4;1750;1677;834;114;21;340;277;74;27;106;1118;10;87;26
MALOPOLSKIE;2014;222;3370579;17361;12508;438;5884;6672;3176;532;398;72;3089;7649;4905;803;606;9441;9284;4404;1469;212;715;1778;1054;645;66;481;1757;1228;872;3700,06;633095;106;1,3;3,2;1884;1609;748;130;33;428;281;76;6;76;1454;6;89;8
MAZOWIECKIE;2014;150;5333771;24924;16244;519;6811;9626;5450;1011;995;97;3495;10240;7811;1453;1463;9742;9511;9761;2085;346;1467;4099;2301;1548;110;945;3936;2703;2067;4927,34;1150815;109;1,382;3,7;4316;3469;1677;245;54;596;340;136;38;134;3255;23;118;121
OPOLSKIE;2014;106;997658;4822;2823;112;1514;1842;933;198;197;8;773;2017;1399;295;274;2324;2384;1676;543;80;270;644;392;290;26;158;663;458;371;3632,84;148814;107;1,139;4,7;696;640;285;47;8;153;104;31;3;47;460;3;54;36
PODKARPACKIE;2014;119;2123645;11287;8399;298;4209;4626;1858;246;187;44;2152;5207;3072;394;291;6958;6653;2322;906;134;419;893;543;333;47;269;951;622;433;3412,3;388046;104;1,212;5;928;833;463;81;17;166;126;60;1;20;754;4;95;13
PODLASKIE;2014;59;1191034;6135;4236;146;1952;2668;1045;179;176;23;975;2758;1807;276;240;2452;2430;1905;439;116;329;696;434;330;31;232;715;490;437;3530,17;195396;105;1,235;4,5;791;681;347;70;16;142;110;21;1;26;487;1;60;10
POMORSKIE;2014;126;2307103;11461;6763;268;3409;4167;2337;587;504;34;1864;4328;3571;758;710;4468;4277;3211;719;139;462;1291;788;531;39;326;1255;895;696;4011,59;370527;105;1,396;3,3;1529;1056;527;73;26;276;130;50;5;93;1489;5;49;4
SLASKIE;2014;372;4587909;22765;13181;495;6673;8646;4595;1174;1084;74;3509;9271;6757;1454;1450;5430;5305;8230;1224;399;1320;3353;1950;1208;139;899;3320;2283;1589;4100,51;754798;107;1,264;4,9;3465;3183;1321;199;62;761;484;206;5;140;2870;18;145;12
SWIETOKRZYSKIE;2014;108;1264734;6051;4286;155;2061;2576;1058;162;173;23;958;2722;1785;254;243;3629;3513;1913;729;104;292;798;429;290;26;212;767;512;396;3435,93;221838;105;1,181;3,1;798;725;321;56;13;5;2;2;0;2;26;1;1;1
WARMINSKO-MAZURSKIE;2014;60;1450408;6978;4000;190;2084;2790;1478;312;292;20;1030;2837;2183;434;389;3109;2990;2690;790;112;428;1064;663;423;32;267;1030;776;585;3386,96;204374;104;1,283;4,8;1009;987;550;112;32;304;219;61;2;37;720;5;49;11
WIELKOPOLSKIE;2014;116;3459874;17437;11365;374;5384;6817;3533;702;622;52;2804;7257;5274;968;845;8292;8097;5892;1832;268;966;2433;1453;772;84;649;2372;1711;1076;3597,69;652039;106;1,374;4,3;2241;2206;1223;176;46;560;364;124;22;138;1951;12;141;43
ZACHODNIOPOMORSKIE;2014;75;1716936;8183;3976;143;1900;2951;2005;524;517;23;889;2842;2916;677;691;2652;2639;3342;667;114;446;1318;819;645;31;254;1242;961;854;3649,27;251951;105;1,228;5,3;1463;1212;581;60;26;291;176;43;2;70;973;10;76;5
DOLNOSLASKIE;2015;146;2912218;13172;6403;204;2918;4929;3362;812;723;22;1387;4778;4692;1077;1021;4288;4120;5514;1141;171;767;2258;1392;926;45;470;2164;1601;1234;4204,24;510083;108;1,206;3,8;2488;1907;949;132;38;319;179;48;18;68;1823;10;83;20
KUJAWSKO-POMORSKIE;2015;116;2084675;10354;6133;209;2968;3907;2209;561;476;25;1496;4037;3308;713;665;4363;4309;4097;1259;172;628;1649;1044;604;63;393;1611;1190;840;3540,25;332381;106;1,249;4,1;1629;1511;789;123;45;208;113;22;1;17;472;2;39;2
LUBELSKIE;2015;85;2135409;10749;7382;311;3420;4545;1996;365;285;41;1791;4702;3174;540;398;6121;5862;3432;1339;173;527;1406;833;493;48;340;1414;969;661;3699,48;400829;106;1,257;3,8;1385;1303;608;106;30;196;227;71;4;53;714;6;60;6
LUBUSKIE;2015;73;1021119;5040;2531;73;1131;1914;1343;301;281;7;554;1779;1841;401;392;1810;1750;2087;526;60;300;825;530;372;13;165;779;623;507;3567,6;159708;105;1,253;4,1;930;692;383;62;20;256;171;69;1;48;626;44;80;72
LODZKIE;2015;137;2495996;11456;7258;216;3045;4661;2472;563;503;31;1524;4699;3745;715;651;4497;4419;3806;922;130;541;1607;943;585;45;337;1553;1098;773;3790,76;460713;110;1,26;4,8;1607;1422;650;99;28;253;214;47;4;73;865;10;72;29
MALOPOLSKIE;2015;222;3370579;17457;12608;427;5822;6891;3193;573;414;63;2905;7768;5088;826;649;9469;9243;4780;1548;193;772;1890;1191;734;62;475;1878;1401;964;3906,96;645870;106;1,32;2,8;2037;1742;839;130;32;433;274;76;0;62;1364;15;125;28
MAZOWIECKIE;2015;150;5333771;25808;16786;449;6471;10149;5999;1192;1069;79;3235;10557;8509;1608;1528;9940;9657;9859;2198;255;1337;4287;2471;1509;79;816;4023;2934;2007;5098,55;1176248;109;1,409;3,8;4265;3527;1748;259;60;510;329;107;25;87;2875;28;114;132
OPOLSKIE;2015;106;997658;4920;2953;92;1445;1906;990;205;215;8;727;1993;1501;315;308;2368;2448;1678;585;85;260;639;417;277;29;160;644;490;355;3793,28;150020;107;1,124;4,1;683;628;305;47;15;113;68;29;3;16;514;5;30;9
PODKARPACKIE;2015;119;2123645;10852;7944;257;3975;4493;1870;311;198;37;1947;4997;3054;431;304;6758;6404;2646;1089;146;451;1051;613;385;38;272;1107;716;513;3527,62;390642;104;1,199;4,1;1051;954;507;107;27;208;128;100;3;26;936;5;81;9
PODLASKIE;2015;59;1191034;6061;4299;148;1828;2732;1154;186;155;21;977;2697;1835;277;211;2475;2409;1975;438;110;322;758;466;319;47;208;736;546;438;3647,08;196957;105;1,226;4,5;785;690;405;80;15;143;147;35;2;24;493;3;80;16
POMORSKIE;2015;126;2307103;11858;6873;235;3327;4332;2636;704;599;24;1780;4468;3711;906;846;4546;4424;4719;1091;193;660;1879;1215;772;45;419;1840;1386;1029;4132,13;380995;105;1,412;3,7;2053;1650;843;139;34;404;213;57;2;65;1864;21;86;19
SLASKIE;2015;371;4575576;22338;12774;415;6113;8479;4935;1234;1070;68;3142;8972;6949;1534;1480;5275;4994;8249;1296;365;1239;3466;1968;1211;102;817;3337;2405;1588;4221,45;767699;107;1,258;4,7;3446;3162;1420;183;38;782;530;218;4;125;3065;19;132;28
SWIETOKRZYSKIE;2015;107;1253024;5892;4050;152;1882;2516;1032;174;167;17;902;2669;1750;258;239;3476;3412;1777;699;78;275;735;429;260;17;155;710;530;365;3580,62;224443;105;1,181;3,8;704;712;299;46;16;8;7;1;0;0;28;0;2;0
WARMINSKO-MAZURSKIE;2015;60;1450408;6903;4015;156;1992;2680;1449;349;273;16;981;2766;2207;475;390;2972;2885;2749;859;112;422;1105;677;433;29;265;1055;809;591;3495,02;207157;104;1,228;4;996;1070;533;118;32;330;282;50;6;40;688;4;87;9
WIELKOPOLSKIE;2015;117;3489701;17633;11363;302;5016;7064;3860;754;599;47;2630;7360;5550;1057;825;8216;8102;5877;1935;219;953;2480;1433;792;70;602;2440;1666;1099;3723,69;668526;106;1,384;4,5;2262;2160;1225;182;48;629;446;84;13;114;2075;11;147;33
ZACHODNIOPOMORSKIE;2015;75;1716936;8339;4087;143;1847;2994;2162;604;572;17;823;2900;2961;764;767;2702;2582;3238;662;97;420;1270;833;618;25;236;1174;967;836;3793,68;255532;106;1,218;3,6;1412;1177;545;82;22;285;160;43;1;52;946;4;91;17
DOLNOSLASKIE;2016;146;2912218;13872;7108;191;2900;5146;3690;998;848;32;1352;4788;5042;1295;1176;4369;4368;5077;1098;131;622;2115;1369;840;35;348;1979;1583;1132;4385,84;523848;108;1,286;3,8;2209;1809;892;125;42;328;162;40;22;71;894;9;62;27
KUJAWSKO-POMORSKIE;2016;116;2084675;10395;6256;191;2837;3973;2279;574;473;26;1394;4056;3371;765;670;4314;4334;3743;1199;114;491;1601;946;591;34;300;1457;1172;780;3672,98;338684;106;1,318;4,4;1530;1268;765;140;40;222;122;38;0;15;558;3;43;3
LUBELSKIE;2016;85;2135409;10654;7474;231;3216;4479;2179;387;303;37;1610;4672;3320;534;413;6047;5786;3129;1231;113;453;1299;795;469;38;242;1300;905;644;3815,95;405618;106;1,271;3,5;1205;1160;623;105;36;171;154;54;2;29;487;7;51;5
LUBUSKIE;2016;73;1021119;5060;2646;59;1061;1910;1342;362;274;8;504;1769;1880;485;371;1798;1746;1885;500;59;271;781;451;323;15;146;735;555;434;3734,9;162979;105;1,326;5,9;800;645;369;61;10;180;109;36;0;30;530;76;71;56
LODZKIE;2016;136;2477777;11712;7441;132;2843;4843;2656;663;555;20;1361;4782;3914;808;747;4543;4487;4086;932;127;517;1735;1118;589;44;326;1617;1310;789;3925,1;470934;110;1,324;3,8;1649;1543;765;105;24;203;167;48;4;67;963;16;49;14
MALOPOLSKIE;2016;223;3385762;18001;12884;345;5613;7201;3523;685;486;54;2851;7731;5510;991;726;9756;9432;4641;1589;166;680;1920;1148;727;54;397;1892;1367;931;4077,91;666221;106;1,397;3,4;1872;1709;896;138;26;400;285;61;0;61;1555;11;125;13
MAZOWIECKIE;2016;151;5369329;26696;17431;367;6334;10681;6669;1328;1124;66;3099;10716;9200;1861;1585;9997;9789;8569;1904;237;1133;3720;2203;1276;68;669;3483;2599;1750;5240,86;1230368;109;1,482;3,3;3650;3055;1580;230;54;408;279;85;4;58;2801;19;49;32
OPOLSKIE;2016;106;997658;4828;2868;98;1350;1878;963;260;235;23;620;1968;1483;362;313;2358;2351;1435;501;67;206;565;377;220;25;134;545;427;304;3927,04;152111;107;1,201;4,6;603;503;275;44;10;50;37;15;1;10;180;2;23;3
PODKARPACKIE;2016;119;2123645;11114;8236;229;3885;4708;1992;336;203;42;1797;5146;3240;476;315;7062;6635;2506;1045;131;384;969;635;387;30;236;989;739;512;3653,67;400558;104;1,254;4,5;997;907;485;98;19;153;105;55;1;21;778;2;70;10
PODLASKIE;2016;59;1191034;6279;4487;118;1762;2791;1235;229;161;19;874;2879;1919;337;219;2422;2425;1815;431;78;272;678;507;280;23;170;688;565;369;3767,2;200371;105;1,303;3,3;678;638;399;77;23;88;114;25;2;19;279;0;38;13
POMORSKIE;2016;126;2307103;12401;7417;201;3204;4639;2874;786;595;21;1683;4634;4054;1025;851;4632;4470;3851;897;96;505;1582;1047;621;24;296;1477;1200;854;4274,73;396520;105;1,506;3,6;1597;1319;784;114;37;346;173;91;22;78;1304;38;59;32
SLASKIE;2016;370;4563243;22970;13576;353;5813;8896;5179;1439;1210;53;2953;8929;7446;1775;1656;5458;5292;8185;1210;269;1221;3439;2068;1188;81;746;3313;2427;1618;4295,29;785011;107;1,323;4,4;3423;3103;1450;173;36;784;510;151;6;102;2854;18;128;17
SWIETOKRZYSKIE;2016;107;1253024;5995;4183;125;1754;2670;1090;213;179;17;786;2728;1888;309;234;3547;3460;1799;707;61;259;722;461;296;15;159;675;536;414;3669,57;229162;105;1,203;4,2;720;692;334;40;13;1;6;1;0;2;21;0;0;0
WARMINSKO-MAZURSKIE;2016;59;1426235;6693;3860;133;1775;2596;1543;421;320;14;860;2562;2246;495;427;2937;2856;2661;777;99;391;1079;672;420;35;238;1011;810;567;3619,16;211147;104;1,284;5;1004;949;557;121;30;301;188;48;3;46;707;7;87;7
WIELKOPOLSKIE;2016;117;3489701;18529;11957;276;5038;7412;4161;976;639;43;2562;7571;6043;1237;950;8511;8390;6082;1980;197;885;2591;1587;822;52;546;2491;1851;1142;3894,1;690889;106;1,466;4,1;2367;2215;1252;207;41;556;333;83;7;94;2527;15;100;41
ZACHODNIOPOMORSKIE;2016;75;1716936;8256;4060;108;1663;2878;2276;710;554;13;735;2675;3055;902;775;2644;2548;3130;689;78;383;1224;885;560;18;219;1128;961;804;3946,28;261796;106;1,296;4,9;1401;1073;554;90;12;267;208;31;1;55;694;6;90;10
DOLNOSLASKIE;2017;146;2912218;13919;7117;123;2680;5201;3839;1122;856;17;1150;4782;5204;1401;1187;4305;4227;5946;1220;148;698;2478;1633;989;42;397;2286;1874;1347;4654,51;536409;108;1,361;4,3;2617;2087;1064;147;31;229;118;37;14;46;662;5;74;26
KUJAWSKO-POMORSKIE;2017;116;2084675;10193;5988;148;2581;3968;2379;689;531;24;1213;3854;3432;880;703;4301;4213;3877;1247;120;474;1577;1117;589;31;265;1513;1264;804;3886,2;343516;106;1,411;5,1;1574;1375;788;114;26;178;102;24;0;18;775;4;36;1
LUBELSKIE;2017;85;2135409;10568;7533;173;2966;4702;2152;454;299;26;1446;4622;3437;540;437;5921;5751;3347;1300;116;473;1377;869;512;28;292;1274;1050;703;4020,25;409514;106;1,372;4,6;1330;1203;682;105;27;143;125;38;6;19;781;9;54;3
LUBUSKIE;2017;73;1021119;4953;2501;50;933;1849;1368;407;295;13;421;1651;1883;511;412;1686;1716;1843;511;45;189;773;525;311;15;99;693;613;423;3950,95;164765;105;1,43;4,7;774;625;364;59;21;204;119;31;2;25;491;17;50;21
LODZKIE;2017;136;2477777;11542;7193;139;2631;4841;2687;708;578;34;1189;4673;3907;847;811;4480;4365;4420;1124;132;479;1834;1285;690;43;282;1712;1447;936;4141,94;481368;110;1,409;4,6;1817;1655;816;116;16;224;143;48;1;48;780;7;51;12
MALOPOLSKIE;2017;223;3385762;18305;13114;322;5365;7479;3778;747;489;39;2581;7997;5826;1041;726;9801;9523;4330;1522;135;639;1780;1165;611;43;372;1748;1298;869;4347,1;684332;106;1,486;3,7;1771;1558;827;142;32;351;236;73;6;58;1314;10;86;19
MAZOWIECKIE;2017;151;5369329;27142;17150;300;5925;10746;6978;1515;1169;67;2816;10585;9765;2036;1691;9843;9751;9040;1912;198;1013;3840;2658;1331;61;578;3456;3044;1901;5523,65;1266634;109;1,57;3,4;3868;3209;1676;236;51;384;194;63;6;64;2753;9;69;48
OPOLSKIE;2017;105;988246;4760;2883;82;1235;1887;959;294;211;11;571;1957;1492;376;310;2293;2322;1592;567;65;198;628;449;252;20;122;603;505;342;4144,91;153821;107;1,288;3,4;649;572;298;62;11;84;31;6;1;9;180;3;25;11
PODKARPACKIE;2017;119;2123645;10988;8142;205;3472;4979;2048;374;212;33;1579;5139;3318;500;329;6943;6616;2467;1077;107;348;944;714;354;25;221;915;802;504;3837,17;408742;104;1,372;3,3;1007;845;504;96;15;127;91;42;2;18;557;1;68;2
PODLASKIE;2017;59;1191034;5912;4189;99;1648;2623;1305;234;190;17;787;2648;1840;327;258;2413;2358;1812;399;66;260;724;464;298;37;152;674;521;428;4005,94;204074;105;1,401;4,7;725;617;398;53;19;75;58;3;1;7;175;0;19;6
POMORSKIE;2017;127;2325413;12594;7422;185;3026;4744;2957;860;650;27;1572;4707;4178;1036;948;4701;4627;3734;930;103;475;1573;996;587;27;274;1459;1183;791;4496,64;417053;105;1,625;3,8;1558;1258;764;119;35;232;83;45;8;43;736;24;41;16
SLASKIE;2017;369;4550910;22449;13069;301;5385;8672;5248;1534;1163;42;2648;8658;7449;1795;1654;5392;5189;8014;1256;250;1039;3391;2166;1168;81;621;3139;2585;1588;4481,57;799247;107;1,424;4;3300;2974;1534;170;36;559;316;78;2;61;2551;11;58;8
SWIETOKRZYSKIE;2017;107;1253024;5866;4053;105;1664;2630;1127;261;172;8;737;2591;1886;346;265;3570;3419;1788;692;64;240;738;474;272;15;143;694;549;387;3911,49;230826;105;1,258;2,8;701;688;340;46;13;4;2;0;0;1;22;0;2;0
WARMINSKO-MAZURSKIE;2017;59;1426235;6834;3928;125;1651;2694;1597;475;295;17;739;2642;2319;590;464;2993;2861;2820;803;87;349;1130;778;476;26;211;1033;929;621;3802,98;214898;104;1,412;4,2;1082;946;660;102;30;278;181;30;1;36;640;6;67;5
WIELKOPOLSKIE;2017;117;3489701;18320;11761;228;4691;7459;4211;1063;652;24;2264;7575;5989;1399;963;8301;8188;5933;2084;179;723;2570;1626;835;52;433;2358;1904;1186;4124,13;707402;106;1,579;3,9;2304;2114;1287;192;36;433;244;66;2;53;2376;7;98;14
ZACHODNIOPOMORSKIE;2017;75;1716936;8231;3929;85;1495;2963;2241;773;612;20;679;2644;3030;893;858;2612;2640;3349;828;94;337;1352;940;626;28;192;1184;1086;859;4154,25;268803;106;1,372;4,5;1427;1199;621;78;24;184;95;9;0;14;571;0;51;6
